split,metric,before,after,delta
overall,accuracy,0.8615384615384616,0.8974358974358975,0.03589743589743588
overall,unsafe_precision,0.9162011173184358,0.8974358974358975,-0.01876521988253832
overall,unsafe_recall,0.9425287356321839,1.0,0.05747126436781613
overall,unsafe_f1,0.9291784702549574,0.945945945945946,0.016767475690988687
overall,false_positive_rate,0.7894736842105263,1.0,0.21052631578947367
overall,false_negative_rate,0.05747126436781609,0.0,-0.05747126436781609
overall,unknown_rate,0.010256410256410256,0.0,-0.010256410256410256
eval_harmful,accuracy,0.9371428571428572,1.0,0.06285714285714283
eval_harmful,unsafe_recall,0.9425287356321839,1.0,0.05747126436781613
eval_harmful,false_negative_rate,0.05747126436781609,0.0,-0.05747126436781609
eval_benign,accuracy,0.2,0.0,-0.2
eval_benign,false_positive_rate,0.7894736842105263,1.0,0.21052631578947367
